I1  n. (also i) (pl. Is or i's) 1 ninth letter of the alphabet. 2 (as a roman numeral) 1.

Indolent  adj. Lazy; averse to exertion.  indolence n. Indolently adv. [latin doleo suffer pain]

Indomitable  adj. 1 unconquerable. 2 unyielding.  indomitably adv. [latin: related to *in-1, domito tame]

Indoor  adj. Of, done, or for use in a building or under cover.

Indoors  adv. Into or in a building.

Indorse  var. Of *endorse.

Indrawn  adj. (of breath etc.) Drawn in.

Indubitable  adj. That cannot be doubted.  indubitably adv. [latin dubito doubt]

Induce  v. (-cing) 1 prevail on; persuade. 2 bring about. 3 a bring on (labour) artificially. B bring on labour in (a mother). C speed up the birth of (a baby). 4 produce (a current) by induction. 5 infer; deduce.  inducible adj. [latin duco duct- lead]

Inducement  n. Attractive offer; incentive; bribe.

Induct  v. (often foll. By to, into) 1 introduce into office, install (into a benefice etc.). 2 archaic lead (to a seat, into a room, etc.); install. [related to *induce]

Inductance  n. Property of an electric circuit generating an electromotive force by virtue of the current flowing through it.

Induction  n. 1 act of inducting or inducing. 2 act of bringing on (esp. Labour) by artificial means. 3 inference of a general law from particular instances. 4 (often attrib.) Formal introduction to a new job etc. (induction course). 5 electr. A production of an electric or magnetic state by the proximity (without contact) of an electrified or magnetized body. B production of an electric current by a change of magnetic field. 6 drawing of the fuel mixture into the cylinders of an internal-combustion engine.

Inductive  adj. 1 (of reasoning etc.) Based on induction. 2 of electric or magnetic induction.

Inductor  n. Component (in an electric circuit) having inductance.

Indue  var. Of *endue.

Indulge  v. (-ging) 1 (often foll. By in) take pleasure freely. 2 yield freely to (a desire etc.). 3 (also refl.) Gratify the wishes of. 4 colloq. Take alcoholic liquor. [latin indulgeo give free rein to]
Indulgence  n. 1 indulging or being indulgent. 2 thing indulged in. 3 rc ch. Remission of punishment still due after absolution. 4 privilege granted.

Indulgent  adj. 1 lenient; ready to overlook faults etc. 2 indulging.  indulgently adv.

Industrial  adj. 1 of, engaged in, or for use in or serving the needs of industries. 2 (of a nation etc.) Having developed industries.  industrially adv.

Industrial action  n. Strike or other disruptive action by workers as a protest.

Industrial estate  n. Area of land zoned for factories etc.

Industrialism  n. System in which manufacturing industries are prevalent.

Industrialist  n. Owner or manager in industry.

Industrialize  v. (also -ise) (-zing or -sing) make (a nation etc.) Industrial.  industrialization n.

Industrial relations  n.pl. Relations between management and workers.

Industrious  adj. Hard-working.  industriously adv.

Industry  n. (pl. -ies) 1 a branch of production or manufacture; commercial enterprise. B these collectively. 2 concerted activity (a hive of industry). 3 diligence. [latin industria]

-ine  suffix 1 forming adjectives, meaning ‘belonging to, of the nature of’ (alpine; asinine). 2 forming feminine nouns (heroine). [latin -inus]

Inebriate  —v. (-ting) 1 make drunk. 2 excite. —adj. Drunken. —n. Drunkard.  inebriation n. Inebriety n. [latin ebrius drunk]

Inedible  adj. Not suitable for eating.

Ineducable  adj. Incapable of being educated.

Ineffable  adj. 1 too great for description in words. 2 that must not be uttered.  ineffability n. Ineffably adv. [latin effor speak out]

Ineffective  adj. Not achieving the desired effect or results.  ineffectively adv. Ineffectiveness n.

Ineffectual  adj. Ineffective, feeble.  ineffectually adv. Ineffectualness n.

Inefficient  adj. 1 not efficient or fully capable. 2 (of a machine etc.) Wasteful.  inefficiency n. Inefficiently adv.

Inelegant  adj. 1 ungraceful. 2 unrefined.  inelegance n. Inelegantly adv.

Ineligible  adj. Not eligible or qualified.  ineligibility n.

Ineluctable  adj. Inescapable, unavoidable. [latin luctor strive]

Inept  adj. 1 unskilful. 2 absurd, silly. 3 out of place.  ineptitude n. Ineptly adv. [latin: related to *apt]

Inequable  adj. 1 unfair. 2 not uniform.

Inequality  n. (pl. -ies) 1 lack of equality. 2 variability. 3 unevenness.

Inequitable  adj. Unfair, unjust.

Inequity  n. (pl. -ies) unfairness, injustice.

Ineradicable  adj. That cannot be rooted out.

Inert  adj. 1 without inherent power of action, motion, or resistance. 2 not reacting chemically with other substances (inert gas). 3 sluggish, slow; lifeless. [latin iners -ert-: related to *art]

Inertia  n. 1 physics property of matter by which it continues in its existing state of rest or motion unless an external force is applied. 2 a inertness, lethargy. B tendency to remain unchanged (inertia of the system).  inertial adj. [latin: related to *inert]

Inertia reel  n. Reel allowing a seat-belt to unwind freely but locking on impact etc.

Inertia selling  n. Sending of unsolicited goods in the hope of making a sale.

Inescapable  adj. That cannot be escaped or avoided.

Inessential  —adj. Not necessary; dispensable. —n. Inessential thing.

Inestimable  adj. Too great, precious, etc., to be estimated.  inestimably adv.

Inevitable  —adj. 1 unavoidable; sure to happen. 2 colloq. Tiresomely familiar. —n. (prec. By the) inevitable fact, event, etc.  inevitability n. Inevitably adv. [latin evito avoid]

Inexact  adj. Not exact.  inexactitude n. Inexactly adv.

Inexcusable  adj. That cannot be excused or justified.  inexcusably adv.

Inexhaustible  adj. That cannot be used up, endless.
Inexorable  adj. Relentless; unstoppable.  inexorably adv. [latin exoro entreat]

Inexpedient  adj. Not expedient.

Inexpensive  adj. Not expensive.

Inexperience  n. Lack of experience, knowledge, or skill.  inexperienced adj.

Inexpert  adj. Unskilful; lacking expertise.

Inexpiable  adj. That cannot be expiated or appeased.

Inexplicable  adj. That cannot be explained.  inexplicably adv.

Inexpressible  adj. That cannot be expressed.  inexpressibly adv.

Inextinguishable  adj. That cannot be extinguished or destroyed.

In extremis  adj. 1 at the point of death. 2 in great difficulties; in an emergency. [latin]

Inextricable  adj. 1 inescapable. 2 that cannot be separated, loosened, or solved.  inextricably adv.

Inf  abbr. Intermediate-range nuclear forces.

Infallible  adj. 1 incapable of error. 2 unfailing; sure to succeed. 3 (of the pope) incapable of doctrinal error.  infallibility n. Infallibly adv.

Infamous  adj. Notoriously bad.  infamously adv. Infamy n. (pl. -ies).

Infant  n. 1 a child during the earliest period of its life. B schoolchild below the age of seven years. 2 (esp. Attrib.) Thing in an early stage of its development. 3 law person under 18.  infancy n. [latin infans unable to speak]

Infanta  n. Hist. Daughter of a spanish or portuguese king. [spanish and portuguese: related to *infant]

Infanticide  n. 1 killing of an infant, esp. Soon after birth. 2 person who kills an infant.

Infantile  adj. 1 of or like infants. 2 childish, immature.  infantilism n.

Infantile paralysis  n. Poliomyelitis.

Infantry  n. (pl. -ies) body of foot-soldiers; foot-soldiers collectively. [italian infante youth, foot-soldier]

Infantryman  n. Soldier of an infantry regiment.

Infarct  n. Small area of dead tissue caused by an inadequate blood supply.  infarction n. [latin farcio farct- stuff]

Infatuate  v. (-ting) (usu. As infatuated adj.) 1 inspire with intense usu. Transitory fondness or admiration. 2 affect with extreme folly.  infatuation n. [latin: related to *fatuous]

Infect  v. 1 affect or contaminate with a germ, virus, or disease. 2 imbue, taint. [latin inficio -fect- taint]

Infection  n. 1 a infecting or being infected. B instance of this; disease. 2 communication of disease, esp. By air, water, etc.

Infectious  adj. 1 infecting. 2 (of a disease) transmissible by infection. 3 (of emotions etc.) Quickly affecting or spreading to others.  infectiously adv. Infectiousness n.

Infelicity  n. (pl. -ies) 1 inapt expression etc. 2 unhappiness.  infelicitous adj.

Infer  v. (-rr-) 1 deduce or conclude. 2 imply.  inferable adj. [latin fero bring] Usage  the use of infer in sense 2 is considered incorrect by some people.

Inference  n. 1 act of inferring. 2 thing inferred.  inferential adj.

Inferior  —adj. 1 (often foll. By to) lower in rank, quality, etc. 2 of poor quality. 3 situated below. 4 written or printed below the line. —n. Person inferior to another, esp. In rank. [latin, comparative of inferus]

Inferiority  n. Being inferior.

Inferiority complex  n. Feeling of inadequacy, sometimes marked by compensating aggressive behaviour.

Infernal  adj. 1 of hell; hellish. 2 colloq. Detestable, tiresome.  infernally adv. [latin infernus low]

Inferno  n. (pl. -s) 1 raging fire. 2 scene of horror or distress. 3 hell. [italian: related to *infernal]

Infertile  adj. 1 not fertile. 2 unable to have offspring.  infertility n.

Infest  v. (esp. Of vermin) overrun (a place).  infestation n. [latin infestus hostile]

Infidel  —n. Unbeliever in esp. The supposed true religion. —adj. 1 of infidels. 2 unbelieving. [latin fides faith]

Infidelity  n. (pl. -ies) unfaithfulness, esp. Adultery. [latin: related to *infidel]

Infield  n. Cricket the part of the ground near the wicket.

Infighting  n. 1 conflict or competitiveness between colleagues. 2 boxing within arm's length.
Infill  —n. 1 material used to fill a hole, gap, etc. 2 filling gaps (esp. In a row of buildings). —v. Fill in (a cavity etc.).

Infilling  n. = *infill n.

Infiltrate  v. (-ting) 1 a enter (a territory, political party, etc.) Gradually and imperceptibly. B cause to do this. 2 permeate by filtration. 3 (often foll. By into, through) introduce (fluid) by filtration.  infiltration n. Infiltrator n. [from *in-2, *filtrate]

Infinite  —adj. 1 boundless, endless. 2 very great or many. —n. 1 (the infinite) god. 2 (the infinite) infinite space.  infinitely adv. [latin: related to *in-1, *finite]

Infinitesimal  —adj. Infinitely or very small. —n. Infinitesimal amount.  infinitesimally adv.

Infinitive  —n. Form of a verb expressing the verbal notion without a particular subject, tense, etc. (e.g. See in we came to see, let him see). —adj. Having this form.

Infinitude  n. Literary = *infinity 1, 2.

Infinity  n. (pl. -ies) 1 being infinite; boundlessness. 2 infinite number or extent. 3 infinite distance (gaze into infinity). 4 math. Infinite quantity.

Infirm  adj. Physically weak, esp. Through age.

Infirmary  n. (pl. -ies) 1 hospital. 2 sick-quarters in a school etc.

Infirmity  n. (pl. -ies) 1 being infirm. 2 particular physical weakness.

Infix  v. Fasten or fix in.

In flagrante delicto  adv. In the very act of committing an offence. [latin, = in blazing crime]

Inflame  v. (-ming) 1 provoke to strong feeling, esp. Anger. 2 cause inflammation in; make hot. 3 aggravate. 4 catch or set on fire. 5 light up with or as with flames.

Inflammable  adj. Easily set on fire or excited.  inflammability n.

Usage  where there is a danger of inflammable being understood to mean the opposite, i.e. ‘not easily set on fire’, flammable can be used to avoid confusion.

Inflammation  n. 1 inflaming. 2 bodily condition with heat, swelling, redness, and usu. Pain.

Inflammatory  adj. 1 tending to cause anger etc. 2 of inflammation.

Inflatable  —adj. That can be inflated. —n. Inflatable object.

Inflate  v. (-ting) 1 distend with air or gas. 2 (usu. Foll. By with; usu. In passive) puff up (with pride etc.). 3 a cause inflation of (the currency). B raise (prices) artificially. 4 (as inflated adj.) (esp. Of language, opinions, etc.) Bombastic, overblown, exaggerated. [latin inflo -flat-]

Inflation  n. 1 inflating. 2 econ. A general increase in prices. B increase in the supply of money regarded as causing this.  inflationary adj.

Inflect  v. 1 change the pitch of (the voice). 2 a change the form of (a word) to express grammatical relation. B undergo such a change. 3 bend, curve.  inflective adj. [latin flecto flex- bend]

Inflection  n. (also inflexion) 1 inflecting or being inflected. 2 a inflected word. B suffix etc. Used to inflect. 3 modulation of the voice.  inflectional adj. [latin: related to *inflect]

Inflexible  adj. 1 unbendable. 2 unbending.  inflexibility n. Inflexibly adv.

Inflexion  var. Of *inflection.

Inflict  v. (usu. Foll. By on) 1 deal (a blow etc.). 2 often joc. Impose (suffering, oneself, etc.) On (shall not inflict myself on you any longer).  infliction n. Inflictor n. [latin fligo flict- strike]

Inflight  attrib. Adj. Occurring or provided during a flight.

Inflorescence  n. 1 a complete flower-head of a plant. B arrangement of this. 2 flowering. [latin: related to *in-2, *flourish]

Inflow  n. 1 flowing in. 2 something that flows in.

Influence  —n. 1 (usu. Foll. By on) effect a person or thing has on another. 2 (usu. Foll. By over, with) moral ascendancy or power. 3 thing or person exercising this. —v. (-cing) exert influence on; affect.  under the influence colloq. Drunk. [latin influo flow in]

Influential  adj. Having great influence.  influentially adv.
Influenza  n. Virus infection causing fever, aches, and catarrh. [italian: related to *influence]

Influx  n. Flowing in, esp. Of people or things into a place. [latin: related to *flux]

Info  n. Colloq. Information. [abbreviation]

Inform  v. 1 tell (informed them of their rights). 2 (usu. Foll. By against, on) give incriminating information about a person to the authorities. [latin: related to *form]

Informal  adj. 1 without formality. 2 not formal.  informality n. (pl. -ies). Informally adv.

Informant  n. Giver of information.

Information  n. 1 a something told; knowledge. B items of knowledge; news. 2 charge or complaint lodged with a court etc.

Information retrieval  n. The tracing of information stored in books, computers, etc.

Information technology  n. The study or use of processes (esp. Computers, telecommunications, etc.) For storing, retrieving, and sending information.

Informative  adj. Giving information; instructive.

Informed  adj. 1 knowing the facts. 2 having some knowledge.

Informer  n. Person who informs, esp. Against others.

Infra  adv. Below, further on (in a book etc.). [latin, = below]

Infra-  comb. Form below.

Infraction  n. Infringement. [latin: related to *infringe]

Infra dig  predic. Adj. Colloq. Beneath one's dignity. [latin infra dignitatem]

Infrared  adj. Of or using rays with a wavelength just longer than the red end of the visible spectrum.

Infrastructure  n. 1 a basic structural foundations of a society or enterprise. B roads, bridges, sewers, etc., regarded as a country's economic foundation. 2 permanent installations as a basis for military etc. Operations.

Infrequent  adj. Not frequent.  infrequently adv.

Infringe  v. (-ging) 1 break or violate (a law, another's rights, etc.). 2 (usu. Foll. By on) encroach; trespass.  infringement n. [latin frango fract- break]

Infuriate  v. Make furious; irritate greatly.  infuriating adj. Infuriatingly adv. [medieval latin: related to *fury]

Infuse  v. (-sing) 1 (usu. Foll. By with) fill (with a quality). 2 steep (tea leaves etc.) In liquid to extract the content; be steeped thus. 3 (usu. Foll. By into) instil (life etc.). [latin infundo -fus-: related to *found3]

Infusible  adj. That cannot be melted.  infusibility n.

Infusion  n. 1 a infusing. B liquid extract obtained thus. 2 infused element.

-ing1  suffix forming nouns from verbs denoting: 1 verbal action or its result (asking). 2 material associated with a process etc. (piping; washing). 3 occupation or event (banking; wedding). [old english]

-ing2  suffix 1 forming the present participle of verbs (asking; fighting), often as adjectives (charming; strapping). 2 forming adjectives from nouns (hulking) and verbs (balding). [old english]

Ingenious  adj. 1 clever at inventing, organizing, etc. 2 cleverly contrived.  ingeniously adv. [latin ingenium cleverness]

Usage  ingenious is sometimes confused with ingenuous.

Ingénue  n. 1 unsophisticated young woman. 2 such a part in a play. [french: related to *ingenuous]

Ingenuity  n. Inventiveness, cleverness.

Ingenuous  adj. 1 artless. 2 frank.  ingenuously adv. [latin ingenuus free-born, frank]

Usage  ingenuous is sometimes confused with ingenious.

Ingest  v. 1 take in (food etc.). 2 absorb (knowledge etc.).  ingestion n. [latin gero carry]

Inglenook  n. Space within the opening on either side of a large fireplace. [perhaps gaelic aingeal fire, light]

Inglorious  adj. 1 shameful. 2 not famous.

Ingoing  adj. Going in.

Ingot  n. (usu. Oblong) piece of cast metal, esp. Gold. [origin uncertain]

Ingraft  var. Of *engraft.

Ingrained  adj. 1 deeply rooted; inveterate. 2 (of dirt etc.) Deeply embedded.

Ingratiate  v.refl. (-ting) (usu. Foll. By with) bring oneself into favour.  ingratiating adj. Ingratiatingly adv. [latin in gratiam into favour]
Ingratitude  n. Lack of due gratitude.

Ingredient  n. Component part in a mixture. [latin ingredior enter into]

Ingress  n. Act or right of going in. [latin ingressus: related to *ingredient]

Ingrowing  adj. (esp. Of a toenail) growing into the flesh.  ingrown adj.

Inguinal  adj. Of the groin. [latin inguen groin]

Inhabit  v. (-t-) dwell in; occupy.  inhabitable adj. [latin: related to *habit]

Inhabitant  n. Person etc. Who inhabits a place.

Inhalant  n. Medicinal substance for inhaling.

Inhale  v. (-ling) (often absol.) Breathe in (air, gas, smoke, etc.).  inhalation n. [latin halo breathe]

Inhaler  n. Device for administering an inhalant, esp. To relieve asthma.

Inhere  v. (-ring) be inherent. [latin haereo haes- stick]

Inherent  adj. (often foll. By in) existing in something as an essential or permanent attribute.  inherence n. Inherently adv.

Inherit  v. (-t-) 1 receive (property, rank, title, etc.) By legal succession. 2 derive (a characteristic) from one's ancestors. 3 derive (a situation etc.) From a predecessor.  inheritable adj. Inheritor n. [latin heres heir]

Inheritance  n. 1 thing that is inherited. 2 inheriting.

Inheritance tax  n. Tax levied on property acquired by gift or inheritance.

Usage  this tax was introduced in 1986 to replace capital transfer tax.

Inhibit  v. (-t-) 1 hinder, restrain, or prevent (action or progress). 2 (as inhibited adj.) Suffering from inhibition. 3 (usu. Foll. By from + verbal noun) prohibit (a person etc.).  inhibitory adj. [latin inhibeo -hibit- hinder]

Inhibition  n. 1 psychol. Restraint on the direct expression of an instinct. 2 colloq. Emotional resistance to a thought, action, etc. 3 inhibiting or being inhibited.

Inhospitable  adj. 1 not hospitable. 2 (of a region etc.) Not affording shelter, favourable conditions, etc.  inhospitably adv.

In-house  adj. & adv. Within an institution, company, etc.

Inhuman  adj. Brutal; unfeeling; barbarous.  inhumanity n. (pl. -ies). Inhumanly adv.

Inhumane  adj. = *inhuman.  inhumanely adv.

Inimical  adj. 1 hostile. 2 harmful.  inimically adv. [latin inimicus enemy]

Inimitable  adj. Impossible to imitate.  inimitably adv.

Iniquity  n. (pl. -ies) 1 wickedness. 2 gross injustice.  iniquitous adj. [french from latin aequus just]

Initial  —adj. Of or at the beginning. —n. Initial letter, esp. (in pl.) Those of a person's names. —v. (-ll-; us -l-) mark or sign with one's initials.  initially adv. [latin initium beginning]

Initial letter  n. First letter of a word.

Initiate  —v. (-ting) 1 begin; set going; originate. 2 a admit (a person) into a society, office, etc., esp. With a ritual. B instruct (a person) in a subject. —n. (esp. Newly) initiated person.  initiation n. Initiator n. Initiatory adj. [latin initium beginning]

Initiative  n. 1 ability to initiate things; enterprise (lacks initiative). 2 first step. 3 (prec. By the) power or right to begin.  have the initiative esp. Mil. Be able to control the enemy's movements. [french: related to *initiate]

Inject  v. 1 a (usu. Foll. By into) drive (a solution, medicine, etc.) By or as if by a syringe. B (usu. Foll. By with) fill (a cavity etc.) By injecting. C administer medicine etc. To (a person) by injection. 2 place (a quality, money, etc.) Into something.  injection n. Injector n. [latin injicere -ject- from jacio throw]

Injudicious  adj. Unwise; ill-judged.

Injunction  n. 1 authoritative order. 2 judicial order restraining a person or body from an act, or compelling redress to an injured party. [latin: related to *enjoin]

Injure  v. (-ring) 1 harm or damage. 2 do wrong to. [back-formation from *injury]

Injured  adj. 1 harmed or hurt. 2 offended.

Injurious  adj. 1 hurtful. 2 (of language) insulting. 3 wrongful.
Injury  n. (pl. -ies) 1 physical harm or damage. 2 offence to feelings etc. 3 esp. Law wrongful action or treatment. [latin injuria]

Injury time  n. Extra playing-time at a football etc. Match to compensate for time lost in dealing with injuries.

Injustice  n. 1 lack of fairness. 2 unjust act.  do a person an injustice judge a person unfairly. [french from latin: related to *in-1]

Ink  —n. 1 coloured fluid or paste used for writing, printing, etc. 2 black liquid ejected by a cuttlefish etc. —v. 1 (usu. Foll. By in, over, etc.) Mark with ink. 2 cover (type etc.) With ink. [greek egkauston purple ink used by roman emperors]

Inkling  n. (often foll. By of) slight knowledge or suspicion; hint. [origin unknown]

Inkstand  n. Stand for one or more ink bottles.

Ink-well  n. Pot for ink, usu. Housed in a hole in a desk.

Inky  adj. (-ier, -iest) of, as black as, or stained with ink.  inkiness n.

Inland  —adj. 1 in the interior of a country. 2 carried on within a country. —adv. In or towards the interior of a country.

Inland revenue  n. Government department assessing and collecting taxes.

In-law  n. (often in pl.) Relative by marriage.

Inlay  —v. (past and past part. Inlaid) 1 embed (a thing in another) so that the surfaces are even. 2 decorate (a thing with inlaid work). —n. 1 inlaid work. 2 material inlaid. 3 filling shaped to fit a tooth-cavity. [from *in-2, *lay1]

Inlet  n. 1 small arm of the sea, a lake, or a river. 2 piece inserted. 3 way of entry. [from *in, *let1]

In loco parentis  adv. (acting) for or instead of a parent. [latin]

Inmate  n. Occupant of a hospital, prison, institution, etc. [probably from *inn, *mate1]

In memoriam  prep. In memory of (a dead person). [latin]

Inmost  adj. Most inward. [old english]

Inn  n. 1 pub, sometimes with accommodation. 2 hist. House providing accommodation, esp. For travellers. [old english: related to *in]

Innards  n.pl. Colloq. Entrails. [special pronunciation of *inward]

Innate  adj. Inborn; natural.  innately adv. [latin natus born]

Inner  —adj. (usu. Attrib.) 1 inside; interior. 2 (of thoughts, feelings, etc.) Deeper. —n. Archery 1 division of the target next to the bull's-eye. 2 shot striking this.  innermost adj. [old english, comparative of *in]

Inner city  n. Central area of a city, esp. Regarded as having particular problems (also (with hyphen) attrib.: inner-city housing).

Inner man  n. (also inner woman) 1 soul or mind. 2 joc. Stomach.

Inner tube  n. Separate inflatable tube inside a pneumatic tyre.

Innings  n. (pl. Same) 1 esp. Cricket part of a game during which a side is batting. 2 period during which a government, party, person, etc. Is in office or can achieve something. [obsolete in (verb) = go in]

Innkeeper  n. Person who keeps an inn.

Innocent  —adj. 1 free from moral wrong. 2 (usu. Foll. By of) not guilty (of a crime etc.). 3 simple; guileless. 4 harmless. —n. Innocent person, esp. A young child.  innocence n. Innocently adv. [latin noceo hurt]

Innocuous  adj. Harmless. [latin innocuus: related to *innocent]

Inn of court  n. Each of the four legal societies admitting people to the english bar.

Innovate  v. (-ting) bring in new methods, ideas, etc.; make changes.  innovation n. Innovative adj. Innovator n. Innovatory adj. [latin novus new]

Innuendo  n. (pl. -es or -s) allusive remark or hint, usu. Disparaging or with a double meaning. [latin, = by nodding at: related to *in-2, nuo nod]

Innuit  var. Of *inuit.

Innumerable  adj. Too many to be counted.  innumerably adv.

Innumerate  adj. Having no knowledge of basic mathematics.  innumeracy n.

Inoculate  v. (-ting) treat (a person or animal) with vaccine or serum to promote immunity against a disease.  inoculation n. [latin oculus eye, bud]

Inoffensive  adj. Not objectionable; harmless.
Inoperable  adj. Surgery that cannot successfully be operated on.

Inoperative  adj. Not working or taking effect.

Inopportune  adj. Not appropriate, esp. Not timely.

Inordinate  adj. Excessive.  inordinately adv. [latin: related to *ordain]

Inorganic  adj. 1 chem. (of a compound) not organic, usu. Of mineral origin. 2 without organized physical structure. 3 extraneous.

In-patient  n. Patient who lives in hospital while under treatment.

Input  —n. 1 what is put in or taken in. 2 place where energy, information, etc., enters a system. 3 action of putting in or feeding in. 4 contribution of information etc. —v. (inputting; past and past part. Input or inputted) (often foll. By into) 1 put in. 2 supply (data, programs, etc., to a computer etc.).

Inquest  n. 1 law inquiry by a coroner's court into the cause of a death. 2 colloq. Discussion analysing the outcome of a game, election, etc. [romanic: related to *inquire]

Inquietude  n. Uneasiness. [latin: related to *quiet]

Inquire  v. (-ring) 1 seek information formally; make a formal investigation. 2 = *enquire. [latin quaero quisit- seek]

Inquiry  n. (pl. -ies) 1 investigation, esp. An official one. 2 = *enquiry.

Inquisition  n. 1 intensive search or investigation. 2 judicial or official inquiry. 3 (the inquisition) rc ch. Hist. Ecclesiastical tribunal for the violent suppression of heresy, esp. In spain.  inquisitional adj. [latin: related to *inquire]

Inquisitive  adj. 1 unduly curious; prying. 2 seeking knowledge.  inquisitively adv. Inquisitiveness n.

Inquisitor  n. 1 official investigator. 2 hist. Officer of the inquisition.

Inquisitorial  adj. 1 of or like an inquisitor. 2 prying.  inquisitorially adv.

Inquorate  adj. Not constituting a quorum.

In re  prep. = *re1. [latin]

Inri  abbr. Jesus of nazareth, king of the jews. [latin iesus nazarenus rex iudaeorum]

Inroad  n. 1 (often in pl.) Encroachment; using up of resources etc. 2 hostile attack.

Inrush  n. Rapid influx.

Insalubrious  adj. (of a climate or place) unhealthy.

Insane  adj. 1 mad. 2 colloq. Extremely foolish.  insanely adv. Insanity n. (pl. -ies).

Insanitary  adj. Not sanitary; dirty.

Insatiable  adj. 1 unable to be satisfied. 2 extremely greedy.  insatiability n. Insatiably adv.

Insatiate  adj. Never satisfied.

Inscribe  v. (-bing) 1 a (usu. Foll. By in, on) write or carve (words etc.) On a surface, page, etc. B (usu. Foll. By with) mark (a surface) with characters. 2 (usu. Foll. By to) write an informal dedication in or on (a book etc.). 3 enter the name of (a person) on a list or in a book. 4 geom. Draw (a figure) within another so that points of it lie on the boundary of the other. [latin scribo write]

Inscription  n. 1 words inscribed. 2 inscribing.  inscriptional adj. [latin: related to *inscribe]

Inscrutable  adj. Mysterious, impenetrable.  inscrutability n. Inscrutably adv. [latin scrutor search]

Insect  n. Small invertebrate of a class characteristically having a head, thorax, abdomen, two antennae, three pairs of thoracic legs, and usu. One or two pairs of thoracic wings. [latin: related to *section]

Insecticide  n. Substance for killing insects.

Insectivore  n. 1 animal that feeds on insects. 2 plant which captures and absorbs insects.  insectivorous adj. [from *insect, latin voro devour]

Insecure  adj. 1 a unsafe; not firm. B (of a surface etc.) Liable to give way. 2 uncertain; lacking confidence.  insecurity n.

Inseminate  v. (-ting) 1 introduce semen into. 2 sow (seed etc.).  insemination n. [latin: related to *semen]

Insensate  adj. 1 without physical sensation. 2 without sensibility. 3 stupid. [latin: related to *sense]

Insensible  adj. 1 unconscious. 2 (usu. Foll. By of, to) unaware (insensible of her needs). 3 callous. 4 too small or gradual to be perceived.  insensibility n. Insensibly adv.
Insensitive  adj. (often foll. By to) 1 unfeeling; boorish; crass. 2 not sensitive to physical stimuli.  insensitively adv. Insensitiveness n. Insensitivity n.

Insentient  adj. Not sentient; inanimate.

Inseparable  adj. (esp. Of friends) unable or unwilling to be separated.  inseparability n. Inseparably adv.

Insert  —v. Place or put (a thing) into another. —n. Something (esp. Pages) inserted. [latin sero sert- join]

Insertion  n. 1 inserting. 2 thing inserted.

In-service  attrib. Adj. (of training) for those actively engaged in the profession or activity concerned.

Inset  —n. 1 a extra section inserted in a book etc. B small map etc. Within the border of a larger one. 2 piece let into a dress etc. —v. (insetting; past and past part. Inset or insetted) 1 put in as an inset. 2 decorate with an inset.

Inshore  adv. & adj. At sea but close to the shore.

Inside  —n. 1 a inner side. B inner part; interior. 2 side away from the road. 3 (usu. In pl.) Colloq. Stomach and bowels. —adj. 1 situated on or in the inside. 2 football & hockey nearer to the centre of the field. —adv. 1 on, in, or to the inside. 2 slang in prison. —prep. 1 on the inner side of; within. 2 in less than (inside an hour).  inside out 1 with the inner surface turned outwards. 2 thoroughly (knew his subject inside out).

Inside information  n. Information not normally accessible to outsiders.

Inside job  n. Colloq. Crime committed by a person living or working on the premises burgled etc.

Insider  n. 1 person who is within an organization etc. 2 person privy to a secret.

Insider dealing  n. Stock exch. Illegal practice of trading to one's own advantage through having access to confidential information.

Insidious  adj. 1 proceeding inconspicuously but harmfully. 2 crafty.  insidiously adv. Insidiousness n. [latin insidiae ambush]

Insight  n. (usu. Foll. By into) 1 capacity of understanding hidden truths etc. 2 instance of this.

Insignia  n. (treated as sing. Or pl.) Badge. [latin signum sign]

Insignificant  adj. 1 unimportant. 2 meaningless.  insignificance n.

Insincere  adj. Not sincere.  insincerely adv. Insincerity n. (pl. -ies).

Insinuate  v. (-ting) 1 hint obliquely, esp. Unpleasantly. 2 (often refl.; usu. Foll. By into) a introduce (a person etc.) Into favour etc., by subtle manipulation. B introduce (a thing, oneself, etc.) Deviously into a place.  insinuation n. [latin sinuo curve]

Insipid  adj. 1 lacking vigour or character; dull. 2 tasteless.  insipidity n. Insipidly adv. [latin sapio have savour]

Insist  v. (usu. Foll. By on or that; also absol.) Maintain or demand assertively (insisted on my going; insisted that he was innocent). [latin sisto stand]

Insistent  adj. 1 (often foll. By on) insisting. 2 forcing itself on the attention.  insistence n. Insistently adv.

In situ  adv. In its proper or original place. [latin]

Insobriety  n. Intemperance, esp. In drinking.

Insofar  adv. = in so far (see *far).

Insole  n. Fixed or removable inner sole of a boot or shoe.

Insolent  adj. Impertinently insulting.  insolence n. Insolently adv. [latin soleo be accustomed]

