I1  n. (also i) (pl. Is or i's) 1 ninth letter of the alphabet. 2 (as a roman numeral) 1.
Illumine  v. (-ning) literary 1 light up; make bright. 2 enlighten.

Ill-use  v. = *ill-treat.

Illusion  n. 1 false impression or belief. 2 state of being deceived by appearances. 3 figment of the imagination.  be under the illusion (foll. By that) believe mistakenly.  illusive adj. Illusory adj. [latin illudo mock]

Illusionist  n. Conjuror.

Illustrate  v. (-ting) 1 a provide (a book etc.) With pictures. B elucidate by drawings, pictures, examples, etc. 2 serve as an example of.  illustrator n. [latin lustro light up]

Illustration  n. 1 drawing or picture in a book, magazine, etc. 2 explanatory example. 3 illustrating.

Illustrative  adj. (often foll. By of) explanatory; exemplary.

Illustrious  adj. Distinguished, renowned. [latin illustris: related to *illustrate]

Ill will  n. Bad feeling; animosity.

Im-  prefix assim. Form of *in-1, *in-2 before b, m, or p.

I'm  contr. I am.

Image  —n. 1 representation of an object, e.g. A statue. 2 reputation or persona of a person, company, etc. 3 appearance as seen in a mirror or through a lens. 4 mental picture or idea. 5 simile or metaphor. —v. (-ging) 1 make an image of; portray. 2 reflect, mirror. 3 describe or imagine vividly.  be the image of be or look exactly like. [latin imago imagin-]

Imagery  n. 1 figurative illustration, esp. In literature. 2 images; statuary, carving. 3 mental images collectively.

Imaginary  adj. 1 existing only in the imagination. 2 math. Being the square root of a negative quantity. [latin: related to *image]

Imagination  n. 1 mental faculty of forming images or concepts of objects or situations not existent or not directly experienced. 2 mental creativity or resourcefulness.

Imaginative  adj. Having or showing imagination.  imaginatively adv. Imaginativeness n.

Imagine  v. (-ning) 1 a form a mental image or concept of. B picture to oneself. 2 think of as probable (can't imagine he'd be so stupid). 3 guess (can't imagine what he is doing). 4 suppose (i imagine you'll need help).  imaginable adj. [latin imaginor] 

Imago  n. (pl. -s or imagines) fully developed stage of an insect, e.g. A butterfly. [latin: see *image]

Imam  n. 1 leader of prayers in a mosque. 2 title of various muslim leaders. [arabic]

Imbalance  n. 1 lack of balance. 2 disproportion.

Imbecile  —n. 1 colloq. Stupid person. 2 person with a mental age of about five. —adj. Mentally weak; stupid, idiotic.  imbecilic adj. Imbecility n. (pl. -ies). [french from latin]

Imbed  var. Of *embed.

Imbibe  v. (-bing) 1 drink (esp. Alcohol). 2 a assimilate (ideas etc.). B absorb (moisture etc.). 3 inhale (air etc.). [latin bibo drink]

Imbroglio  n. (pl. -s) 1 confused or complicated situation. 2 confused heap. [italian: related to *in-2, *broil]

Imbue  v. (-bues, -bued, -buing) (often foll. By with) 1 inspire or permeate (with feelings, opinions, or qualities). 2 saturate. 3 dye. [latin imbuo]

Imf  abbr. International monetary fund.

Imitate  v. (-ting) 1 follow the example of; copy. 2 mimic. 3 make a copy of. 4 be like.  imitable adj. Imitator n. [latin imitor -tat-]

Imitation  n. 1 imitating or being imitated. 2 copy. 3 counterfeit (often attrib.: imitation leather).

Imitative  adj. 1 (often foll. By of) imitating; following a model or example. 2 (of a word) reproducing a natural sound (e.g. Fizz), or otherwise suggestive (e.g. Blob).

Immaculate  adj. 1 perfectly clean and tidy. 2 perfect (immaculate timing). 3 innocent, faultless.  immaculately adv. Immaculateness n. [latin: related to *in-1, macula spot]
Immaculate conception  n. Rc ch. Doctrine that the virgin mary was without original sin from conception.

Immanent  adj. 1 (often foll. By in) naturally present, inherent. 2 (of god) omnipresent.  immanence n. [latin: related to *in-2, maneo remain]

Immaterial  adj. 1 unimportant; irrelevant. 2 not material; incorporeal.  immateriality n.

Immature  adj. 1 not mature. 2 undeveloped, esp. Emotionally. 3 unripe.  immaturely adv. Immaturity n.

Immeasurable  adj. Not measurable; immense.  immeasurably adv.

Immediate  adj. 1 occurring or done at once (immediate reply). 2 nearest, next; direct (immediate vicinity; immediate future; immediate cause of death). 3 most pressing or urgent (our immediate concern).  immediacy n. Immediateness n. [latin: related to *in-1, *mediate]

Immediately  —adv. 1 without pause or delay. 2 without intermediary. —conj. As soon as.

Immemorial  adj. Ancient beyond memory or record (from time immemorial).

Immense  adj. 1 extremely large; huge. 2 considerable (immense difference).  immenseness n. Immensity n. [latin metior mens- measure]

Immensely  adv. 1 colloq. Very much (enjoyed myself immensely). 2 to an immense degree (immensely rich).

